route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
1,regular,Q,Camberwell,Go-Ahead,DD,Canada Water,Hampstead Heath,Canada Water Bus Station,South End Green,Canada Water,"Hampstead Heath, South End Green",,6.5,6.5,6.5,0.0,5.0,14.532,9.03
2,regular,N,Norwood,Arriva,DD,West Norwood,Marylebone,Norwood Bus Garage,Marylebone Station,"West Norwood, Norwood Bus Garage",Marylebone,,7.0,7.0,7.0,0.0,6.0,13.196,8.2
3,regular,WL,Walworth,Transport UK,DD,Crystal Palace,Victoria,,Victoria Bus Station,Crystal Palace,Victoria,,5.0,5.0,5.0,0.0,5.0,12.874,7.999
4,regular,HT,Holloway,Metroline,DD,Blackfriars Station,Archway,,Archway Station,Blackfriars Station,Archway,,5.5,5.5,5.5,0.0,4.5,11.533,7.166
5,regular,DS; RR,Henley Road; River Road,Go-Ahead,DD,Canning Town,Romford Market,Canning Town Station,,Canning Town,Romford Market,,9.0,8.5,9.0,0.0,7.5,17.44,10.837
6,twentyfour,AC,Willesden,Metroline,DD,Victoria,"Willesden, Bus Garage",Victoria Station,Pound Lane / Willesden Bus Garage,Victoria,"Willesden, Bus Garage",,6.5,7.0,7.0,2.5,5.5,11.183,6.949
7,regular,PV,Perivale [East],Metroline,DD,Oxford Circus,East Acton,Oxford Circus Station / John Lewis,Brunel Road,Oxford Circus,"East Acton, Brunel Road",,5.0,5.0,4.5,0.0,4.5,10.188,6.33
8,regular,BW,Bow,Stagecoach London,DD,Tottenham Court Road,Bow Church,St Giles High Street,Bow Bus Garage,"Tottenham Court Road, St Giles High Street","Bow Church, Bow Bus Garage",,8.0,8.0,8.0,0.0,6.0,10.309,6.406
9,regular,AH,Brentford,Metroline,DD,Hammersmith,Aldwych,Hammersmith Bus Station,Aldwych / Drury Lane,Hammersmith,Aldwych,,5.5,6.0,6.0,0.0,5.0,8.618,5.355
11,regular,SW,Stockwell,Go-Ahead,DD,Waterloo,Fulham Broadway,Waterloo Station / Upper Taxi Road,Fulham Town Hall,Waterloo,"Fulham Broadway, Fulham Town Hall",,6.0,6.0,6.0,0.0,5.0,7.563,4.7
12,twentyfour,Q,Camberwell,Go-Ahead,DD,Dulwich Library,Oxford Circus,Eynella Road / Dulwich Library,Margaret Street / Oxford Circus,Dulwich Library,Oxford Circus,,5.0,5.0,5.0,3.5,5.0,11.767,7.312
13,twentyfour,X,Westbourne Park,First,DD,Victoria,North Finchley,Victoria Station,North Finchley Bus Station,Victoria,North Finchley,,6.0,6.0,6.0,2.0,6.0,15.867,9.859
14,twentyfour,AF; RA,Putney; Waterloo,Go-Ahead,DD,Russell Square,Putney Heath,,Putney Heath / Green Man,Russell Square,Putney Heath,,7.5,7.5,7.5,4.5,6.0,11.884,7.384
15,regular,DS,Henley Road,Go-Ahead,DD,"Trafalgar Square, Charing Cross Station",Blackwall,Charing Cross Station,Blackwall Station,"Trafalgar Square, Charing Cross Station",Blackwall,,5.0,5.0,5.0,0.0,5.5,9.712,6.034
16,regular,W,Cricklewood,Metroline,DD,Paddington,"Brent Park, Superstores",Bishop's Bridge / Paddington Station,Brent Park Tesco,Paddington,"Brent Park, Superstores, Brent Park Tesco",,5.5,5.0,5.5,0.0,5.0,12.355,7.677
17,regular,HT,Holloway,Metroline,DD,London Bridge,Archway,London Bridge Station,Archway Station / Holloway Road,London Bridge,Archway,,6.0,6.0,6.0,0.0,5.0,9.511,5.91
18,regular,X,Westbourne Park,First,DD,Euston,Sudbury,Euston Station,Sudbury & Harrow Road Station,Euston,Sudbury,,11.0,11.0,12.0,0.0,8.0,14.567,9.052
19,regular,SF,Stamford Hill,Arriva,DD,"Battersea Bridge, South Side",Finsbury Park Station,Parkgate Road,Finsbury Park Interchange,"Battersea Bridge, South Side, Parkgate Road","Finsbury Park Station, Finsbury Park Interchange",,6.0,6.0,6.0,0.0,6.0,13.306,8.268
20,regular,T,Leyton,Stagecoach London,DD,Debden,Walthamstow Central,Burton Road,Walthamstow Bus Station,"Debden, Burton Road","Walthamstow Central, Walthamstow Bus Station",,4.0,4.0,4.0,0.0,2.0,16.582,10.304
21,regular,NX,New Cross,Go-Ahead,DD,"Holloway, Nag's Head","Lewisham, Shopping Centre",Caledonian Road,Molesworth Street,"Holloway, Nag's Head, Caledonian Road","Lewisham, Shopping Centre, Molesworth Street",,7.0,7.0,7.0,0.0,5.0,15.833,9.838
22,regular,AF,Putney,Go-Ahead,DD,Oxford Circus,Putney Common,Margaret Street / Oxford Circus,,Oxford Circus,Putney Common,,6.5,6.0,6.0,0.0,5.0,10.094,6.272
23,twentyfour,X,Westbourne Park,First,DD,Aldwych,Westbourne Park,Aldwych / Drury Lane,Westbourne Park Bus Garage,Aldwych,Westbourne Park,,4.0,4.5,4.5,2.5,4.0,11.714,7.279
24,twentyfour,QB,Battersea,Transport UK,DD,Hampstead Heath,Pimlico,Royal Free Hospital,Grosvenor Road,"Hampstead Heath, Royal Free Hospital","Pimlico, Grosvenor Road",,5.5,5.0,5.0,2.5,5.0,10.911,6.78
25,regular,BW,Bow,Stagecoach London,DD,"Holborn Viaduct, City Thameslink Station",Ilford,Holborn Circus,Hainault Street,"Holborn Viaduct, City Thameslink Station, Holborn Circus","Ilford, Hainault Street",,6.5,7.5,6.5,0.0,5.5,15.201,9.446
26,regular,HK,Ash Grove,Stagecoach London,DD,Victoria,Hackney Wick,Westminster Cathedral / Victoria Stn,St Mary of Eton Church,Victoria,"Hackney Wick, St Mary of Eton Church",,6.0,6.0,6.0,0.0,5.0,11.829,7.35
27,regular,QB,Battersea,Transport UK,DD,Chalk Farm,Hammersmith Grove,Hartland Road / Camden Market,Glenthorne House,"Chalk Farm, Hartland Road / Camden Market","Hammersmith Grove, Glenthorne House",,4.5,5.0,5.0,0.0,4.5,12.719,7.903
28,regular,WJ,Willesden Junction,Metroline,DD,Wandsworth,Kensal Rise,Mapleton Crescent,Kensal Rise Station,"Wandsworth, Mapleton Crescent",Kensal Rise,,5.5,5.0,5.5,0.0,5.0,13.384,8.316
29,regular,WN,Wood Green,Arriva,DD,Trafalgar Square,Wood Green,Trafalgar Square / Charing Cross Stn,Wood Green Station,Trafalgar Square,Wood Green,,10.0,10.0,10.0,0.0,8.0,11.664,7.248
30,regular,KC,King's Cross,Metroline,DD,Hackney Wick,Euston,Hackney Wick / Trowbridge Road,Euston Bus Station,Hackney Wick,Euston,,5.5,6.0,6.0,0.0,5.0,9.493,5.899
31,regular,X,Westbourne Park,First,DD,White City,"Camden Town, Bayham Street",White City Bus Station,Camden Town Station,White City,"Camden Town, Bayham Street, Camden Town Station",,5.5,5.5,5.5,0.0,6.0,11.31,7.028
32,regular,W,Cricklewood,Metroline,DD,Kilburn Park,Edgware,Kilburn Park Station,Edgware Station,Kilburn Park,Edgware,,7.5,6.5,6.5,0.0,4.5,10.934,6.794
33,regular,FW,Fulwell,First,SD,"Castelnau, Lonsdale Road","Fulwell, Stanley Road",Lonsdale Road,Fulwell Station,"Castelnau, Lonsdale Road","Fulwell, Stanley Road, Fulwell Station",,7.0,7.0,6.5,0.0,5.0,13.442,8.352
34,regular,AD,Palmers Green,Arriva,DD,Walthamstow Central,Barnet Church,Walthamstow Central Station,Fitzjohn Avenue,Walthamstow Central,"Barnet Church, Fitzjohn Avenue",,6.5,5.5,6.5,0.0,5.0,18.198,11.308
35,twentyfour,Q,Camberwell,Go-Ahead,DD,Shoreditch,Clapham Junction,,Clapham Junction Stn / the Falcon,Shoreditch,Clapham Junction,,7.0,7.0,7.0,2.5,5.5,13.947,8.667
36,twentyfour,NX,New Cross,Go-Ahead,DD,New Cross Gate,Queen's Park,New Cross Bus Garage,Queen's Park Station,"New Cross Gate, New Cross Bus Garage",Queen's Park,,8.0,7.5,7.5,3.0,5.0,16.59,10.309
37,twentyfour,PM,Peckham,Go-Ahead,DD,Peckham,Putney Heath,Peckham Bus Station,Putney Heath / Green Man,Peckham,Putney Heath,,5.5,5.5,5.5,2.5,5.5,15.475,9.616
38,regular,CT,Clapton,Arriva,DD,Victoria,Clapton Pond,Victoria Bus Station,Lea Bridge Roundabout,Victoria,"Clapton Pond, Lea Bridge Roundabout",,12.0,12.0,12.0,0.0,10.0,12.36,7.68
39,regular,AF,Putney,Go-Ahead,SD,Clapham Junction,Putney Bridge,Clapham Junction Stn / the Falcon,Putney Bridge Station,Clapham Junction,Putney Bridge,,6.5,6.5,6.5,0.0,5.0,9.953,6.185
40,regular,Q,Camberwell,Go-Ahead,DD,Clerkenwell Green,Dulwich Library,Clerkenwell Road,Eynella Road / Dulwich Library,"Clerkenwell Green, Clerkenwell Road",Dulwich Library,,7.0,7.0,6.0,0.0,4.0,9.464,5.881
41,regular,AR,Tottenham,Arriva,DD,Tottenham Hale,Archway,Tottenham Hale Bus Station,Archway Station,Tottenham Hale,Archway,,11.0,10.0,10.0,0.0,7.5,8.065,5.012
42,regular,Q,Camberwell,Go-Ahead,DD,Liverpool Street,"East Dulwich, Sainsbury's",Appold Street,,"Liverpool Street, Appold Street","East Dulwich, Sainsbury's",,4.0,4.0,4.0,0.0,4.0,12.01,7.462
43,twentyfour,HT,Holloway,Metroline,DD,London Bridge,Friern Barnet,London Bridge Station,Halliwick Park,London Bridge,"Friern Barnet, Halliwick Park",,8.0,7.5,7.5,2.5,6.0,15.502,9.633
44,regular,SW,Stockwell,Go-Ahead,DD,Tooting Station,Victoria,,Victoria Station,Tooting Station,Victoria,,5.5,6.0,6.0,0.0,4.0,13.496,8.386
45,regular,WL,Walworth,Transport UK,DD,Morden,Camberwell Green,Morden Station,Denmark Hill / Camberwell Green,Morden,Camberwell Green,,4.5,4.5,4.5,0.0,4.0,15.757,9.791
46,regular,HT,Holloway,Metroline,SD,"Smithfield, St Bartholomew's Hospital",Paddington,St Bartholomew's Hospital,Paddington Station,"Smithfield, St Bartholomew's Hospital",Paddington,,5.0,5.0,5.0,0.0,4.0,14.166,8.802
47,twentyfour,TL,Catford,Stagecoach London,DD,Shoreditch,"Bellingham, Catford Bus Garage",,Catford Garage,Shoreditch,"Bellingham, Catford Bus Garage, Catford Garage",,5.0,5.0,5.0,2.5,3.0,15.327,9.524
49,regular,S,Shepherd's Bush,First,DD,White City,Clapham Junction,White City Bus Station,Bolingbroke Grove,White City,"Clapham Junction, Bolingbroke Grove",,5.0,5.0,5.0,0.0,5.0,10.486,6.515
50,regular,BN,Brixton Hill,Arriva,DD,Stockwell,Croydon Town Centre,Clapham Road / Stockwell Station,Fairfield Halls,Stockwell,"Croydon Town Centre, Fairfield Halls",,4.0,4.5,4.5,0.0,4.0,14.487,9.002
51,regular,MG,Morden Wharf (Greenwich),Go-Ahead,DD,Orpington Station,Woolwich,,Beresford Sq / Woolwich Arsenal Stn,Orpington Station,Woolwich,,5.0,4.5,4.5,0.0,4.5,19.425,12.07
52,twentyfour,AC,Willesden,Metroline,DD,"Willesden, Bus Garage",Victoria,Pound Lane,Victoria Bus Station,"Willesden, Bus Garage, Pound Lane",Victoria,,6.0,5.5,5.5,2.0,5.5,11.442,7.11
53,regular,PD,Plumstead,Stagecoach London,DD,"Lambeth North, Lower Marsh",Plumstead Station,Lower Marsh,Griffin Road / Plumstead Station,"Lambeth North, Lower Marsh",Plumstead Station,,8.0,7.5,7.5,0.0,7.5,18.156,11.282
54,regular,TL,Catford,Stagecoach London,DD,Woolwich,Elmers End,Plumstead Road / Burrage Road,Elmers End Interchange,"Woolwich, Plumstead Road / Burrage Road",Elmers End,,5.5,6.0,6.0,0.0,4.0,16.922,10.515
55,regular,T,Leyton,Stagecoach London,DD,Oxford Circus,Walthamstow Central,Great Titchfield St / Oxford Circus Stn,Walthamstow Bus Station,Oxford Circus,"Walthamstow Central, Walthamstow Bus Station",,8.0,7.5,7.5,0.0,6.0,14.561,9.048
56,regular,T,Leyton,Stagecoach London,DD,"Smithfield, St Bartholomew's Hospital",Whipps Cross,St. Bartholomew's Hospital,Whipps Cross Bus Stand,"Smithfield, St Bartholomew's Hospital",Whipps Cross,,6.5,5.5,6.0,0.0,6.0,12.839,7.978
57,twentyfour,AL,Merton,Go-Ahead,DD,Clapham Park,Kingston,Atkins Road / New Park Road,Fairfield Bus Station,"Clapham Park, Atkins Road / New Park Road","Kingston, Fairfield Bus Station",,5.0,4.5,5.0,2.5,4.5,18.341,11.396
58,regular,HO,Lea Interchange,Stagecoach London,DD,Walthamstow Central,"East Ham, Central Park",Walthamstow Central Station,,Walthamstow Central,"East Ham, Central Park",,5.0,5.0,5.0,0.0,4.5,12.324,7.658
59,regular,BN,Brixton Hill,Arriva,DD,"Smithfield, St Bartholomew's Hospital",Clapham Park,St Bartholomew's Hospital,Atkins Road / New Park Road,"Smithfield, St Bartholomew's Hospital","Clapham Park, Atkins Road / New Park Road",,7.5,8.0,8.0,0.0,5.0,10.902,6.774
60,regular,TC,Croydon,Arriva,DD,Streatham Station,Old Coulsdon,,Old Coulsdon / Tudor Rose,Streatham Station,Old Coulsdon,60S,6.5,6.5,6.0,0.0,5.0,19.156,11.903
61,regular,TB,Bromley,Stagecoach London,DD,Bromley North,Chislehurst,Bromley North Station,Chislehurst / Gordon Arms,Bromley North,Chislehurst,,4.0,4.0,4.0,0.0,3.0,16.774,10.423
62,regular,BK,Barking,Stagecoach London,DD,"Barking, Gascoigne Road",Marks Gate,Gascoigne Road,Marks Gate / Billet Road,"Barking, Gascoigne Road",Marks Gate,,5.0,5.0,5.0,0.0,4.0,14.599,9.071
63,regular,WL,Walworth,Transport UK,DD,King's Cross,Honor Oak,King's Cross Station / York Way,Therapia Road,King's Cross,"Honor Oak, Therapia Road",,9.0,8.0,8.0,0.0,6.0,11.979,7.444
64,twentyfour,TH,Thornton Heath,Arriva,DD,New Addington,Thornton Heath Pond,Vulcan Way,,"New Addington, Vulcan Way",Thornton Heath Pond,,6.0,6.5,6.0,2.5,4.0,18.944,11.771
65,regular,FW,Fulwell,First,DD,Ealing Broadway,Kingston,Ealing Broadway Station,Brook Street,Ealing Broadway,"Kingston, Brook Street",,8.0,8.5,8.5,0.0,5.0,15.179,9.432
66,regular,GY,Grays,Arriva,DD,Leytonstone,Romford Station,Leytonstone Station,,Leytonstone,Romford Station,,5.0,5.0,5.0,0.0,4.0,15.417,9.58
67,regular,SF,Stamford Hill,Arriva,DD,"Dalston, Forest Road",Wood Green,Forest Road,Wood Green Station,"Dalston, Forest Road",Wood Green,,5.0,5.0,5.0,0.0,5.0,7.869,4.889
68,regular,WL,Walworth,Transport UK,DD,Euston,West Norwood,Euston Bus Station,Ernest Avenue,Euston,"West Norwood, Ernest Avenue",,7.0,7.0,6.0,0.0,5.0,12.414,7.714
69,twentyfour,DS,Henley Road,Go-Ahead,DD,Canning Town,Walthamstow Central,Canning Town Station,Walthamstow Bus Station,Canning Town,"Walthamstow Central, Walthamstow Bus Station",,7.5,7.5,7.5,2.5,5.0,10.824,6.726
70,regular,S,Shepherd's Bush,First,DD,South Kensington,"Chiswick, Business Park",Queensberry Place,,"South Kensington, Queensberry Place","Chiswick, Business Park",,4.5,5.0,5.0,0.0,4.5,15.008,9.325
71,regular,FW,Fulwell,First,DD,Kingston,Chessington,Cromwell Road Bus Station,Chessington World of Adventures,"Kingston, Cromwell Road Bus Station",Chessington,,7.5,7.5,7.5,0.0,5.0,10.233,6.358
72,regular,S,Shepherd's Bush,First,SD,"Hammersmith Bridge, North Side",East Acton,Hammersmith Bridge Road,Brunel Road,"Hammersmith Bridge, North Side, Hammersmith Bridge Road","East Acton, Brunel Road",,5.0,5.5,5.0,0.0,5.0,7.545,4.688
73,regular,CT,Clapton,Arriva,DD,Stoke Newington,Oxford Circus,Stoke Newington Common,Great Titchfield St / Oxford Circus Stn,Stoke Newington,Oxford Circus,,9.0,9.0,9.0,0.0,8.0,9.428,5.858
74,regular,AF,Putney,Go-Ahead,DD,Baker Street Station,"Putney, High Street",,Putney Exchange,Baker Street Station,"Putney, High Street, Putney Exchange",,5.5,5.5,5.5,0.0,5.0,12.035,7.478
75,regular,TL,Catford,Stagecoach London,DD,Croydon Town Centre,"Lewisham, Shopping Centre",Fairfield Halls,Lewisham Station,"Croydon Town Centre, Fairfield Halls","Lewisham, Shopping Centre, Lewisham Station",,4.5,4.5,4.5,0.0,4.5,14.558,9.046
76,twentyfour,SF,Stamford Hill,Arriva,DD,"Waterloo, County Hall",Tottenham Hale,Lower Marsh,Tottenham Hale Bus Station,"Waterloo, County Hall, Lower Marsh",Tottenham Hale,,6.5,6.0,6.0,2.0,5.0,14.358,8.922
77,regular,SW,Stockwell,Go-Ahead,DD,Tooting Station,Waterloo,,Waterloo Station / Upper Taxi Road,Tooting Station,Waterloo,,6.0,6.0,6.0,0.0,5.0,13.484,8.379
78,regular,PM,Peckham,Go-Ahead,DD,Nunhead,Shoreditch,St Mary's Road,Curtain Road,"Nunhead, St Mary's Road","Shoreditch, Curtain Road",,6.0,6.0,6.0,0.0,5.0,10.852,6.743
79,regular,BT,Edgware,First,DD,Edgware,Stonebridge Park,Edgware Station,Stonebridge Park Station,Edgware,Stonebridge Park,,5.0,5.0,5.0,0.0,4.0,13.283,8.253
80,regular,A; GM,Ellis Road; Sutton,Go-Ahead,DD,"Hackbridge, Reynolds Close","Belmont, High Down & Downview",Reynolds Close,Downview and Highdown Prisons,"Hackbridge, Reynolds Close","Belmont, High Down & Downview, Downview and Highdown Prisons",,6.5,6.5,6.5,0.0,3.5,14.234,8.845
81,regular,SG,Lampton,Metroline,DD,Hounslow Bus Station,"Slough, Bus Station",,Queensmere Shopping Centre,Hounslow Bus Station,"Slough, Bus Station, Queensmere Shopping Centre",,5.0,5.5,5.0,0.0,4.0,18.708,11.624
83,regular,AO; PV,Athlon Road; Perivale [East],Metroline,DD,"Alperton, Sainsbury's",Golders Green,Glacier Way,Golders Green Station,"Alperton, Sainsbury's, Glacier Way",Golders Green,,7.5,7.5,7.5,0.0,6.0,13.145,8.168
85,twentyfour,TV,Tolworth,First,DD,Kingston,Putney Bridge,Kingston Hall Road,Putney Bridge Station,Kingston,Putney Bridge,,6.0,6.0,6.0,2.5,6.0,11.61,7.214
86,regular,HO; NS,Lea Interchange; Romford,Stagecoach London,DD,Romford Station,Stratford,,Stratford Bus Station,Romford Station,Stratford,,10.0,10.0,10.0,0.0,7.0,15.67,9.737
87,regular,SW,Stockwell,Go-Ahead,DD,Aldwych,Wandsworth,Aldwych / Drury Lane,Wandsworth Plain,Aldwych,Wandsworth,,7.5,8.0,8.0,0.0,5.0,10.441,6.488
88,twentyfour,SW,Stockwell,Go-Ahead,DD,Clapham Common,Parliament Hill Fields,Omnibus Clapham,,"Clapham Common, Omnibus Clapham",Parliament Hill Fields,,6.5,6.0,6.0,2.0,5.0,14.375,8.932
89,regular,BX,Bexleyheath,Go-Ahead,DD,Slade Green,Lewisham Station,Forest Road / Slade Green Station,,Slade Green,Lewisham Station,,5.0,5.5,5.0,0.0,3.0,18.082,11.236
90,regular,PV,Perivale [East],Metroline,DD,"Feltham, Leisure West",Northolt,,Northolt Station,"Feltham, Leisure West",Northolt,,5.5,5.5,5.5,0.0,4.0,18.483,11.485
91,regular,NP,Northumberland Park,Go-Ahead,DD,Trafalgar Square,Crouch End,Whitehall / Trafalgar Square,Rosebery Gardens,Trafalgar Square,"Crouch End, Rosebery Gardens",,5.5,5.5,5.5,0.0,6.0,10.515,6.534
92,regular,G,Greenford,Metroline,DD,St Raphael's North,Ealing Hospital,Ikea Brent Park,,"St Raphael's North, Ikea Brent Park",Ealing Hospital,,5.0,5.5,5.0,0.0,4.5,15.651,9.725
93,twentyfour,A,Sutton,Go-Ahead,DD,Putney Bridge,North Cheam,Putney Bridge Station,Priory Road,Putney Bridge,"North Cheam, Priory Road",,8.5,8.0,8.5,2.5,5.5,14.723,9.148
94,twentyfour,S,Shepherd's Bush,First,DD,Piccadilly Circus,Acton Green,Charles I I Street,,"Piccadilly Circus, Charles I I Street",Acton Green,,6.0,6.5,6.5,2.5,6.0,10.359,6.437
95,regular,G,Greenford,Metroline,DD,Shepherd's Bush,"Southall, Town Hall",Shepherds Bush Green,,Shepherd's Bush,"Southall, Town Hall",,4.0,4.5,4.5,0.0,2.5,15.903,9.882
96,regular,DT,Dartford,Arriva,DD,Woolwich,Bluewater,Thomas Street,Bluewater Shopping Centre,"Woolwich, Thomas Street",Bluewater,,7.5,7.5,7.5,0.0,5.0,19.687,12.233
97,regular,HO,Lea Interchange,Stagecoach London,DD,Stratford City,Chingford Station,Stratford City Bus Station,,Stratford City,Chingford Station,,7.5,7.0,7.5,0.0,5.0,13.349,8.294
98,regular,AC,Willesden,Metroline,DD,Holborn,"Willesden, Bus Garage",Red Lion Square,Pound Lane,"Holborn, Red Lion Square","Willesden, Bus Garage, Pound Lane",,7.5,7.0,7.0,0.0,5.5,10.551,6.556
99,regular,BX,Bexleyheath,Go-Ahead,DD,"Bexleyheath, Shopping Centre",Woolwich,Geddes Place,Beresford Sq / Woolwich Arsenal Stn,"Bexleyheath, Shopping Centre, Geddes Place",Woolwich,,5.0,4.5,4.5,0.0,4.5,17.677,10.984
100,regular,Q,Camberwell,Go-Ahead,SD,Shadwell,St Paul's,St George's Town Hall / Shadwell Stn,King Edward Street / St Pauls Station,Shadwell,St Paul's,,5.0,5.0,5.0,0.0,4.0,6.413,3.985
101,regular,RR,River Road,Go-Ahead,DD,Beckton Station,Wanstead,Beckton Bus Station,Woodbine Place,"Beckton Station, Beckton Bus Station","Wanstead, Woodbine Place",,5.0,5.0,5.0,0.0,4.0,8.454,5.253
102,twentyfour,AD,Palmers Green,Arriva,DD,"Brent Cross, Shopping Centre",Edmonton Green,,Edmonton Green Bus Station,"Brent Cross, Shopping Centre",Edmonton Green,,8.0,7.5,7.5,2.0,5.0,19.767,12.283
103,regular,GY,Grays,Arriva,DD,Rainham Interchange,Chase Cross,Rainham Station,,"Rainham Interchange, Rainham Station",Chase Cross,,6.0,5.5,5.5,0.0,4.0,14.474,8.994
104,regular,RR,River Road,Go-Ahead,DD,Beckton Station,Stratford,Beckton Bus Station,Stratford Bus Station,"Beckton Station, Beckton Bus Station",Stratford,,7.5,7.5,7.5,0.0,5.0,6.854,4.259
105,twentyfour,WK,Hounslow Heath,First,DD,Heathrow Central,Greenford Station,Heathrow Central Bus Station,,Heathrow Central,Greenford Station,,5.0,5.0,5.0,2.5,5.0,16.529,10.271
106,regular,NP,Northumberland Park,Go-Ahead,DD,Whitechapel,Finsbury Park Station,Cavell Street,Finsbury Park Interchange,"Whitechapel, Cavell Street","Finsbury Park Station, Finsbury Park Interchange",,6.0,6.5,6.0,0.0,5.0,10.181,6.326
107,regular,PB,Potters Bar,Metroline,DD,New Barnet Station,Edgware Station,,,New Barnet Station,Edgware Station,,4.0,4.0,4.0,0.0,4.0,18.514,11.504
108,twentyfour,NX; Q,Camberwell; New Cross,Go-Ahead,SD,Lewisham Station,Stratford International,,Stratford International Station,Lewisham Station,Stratford International,108D,5.0,5.5,5.5,2.5,4.0,17.423,10.826
109,regular,BC,Beddington,Transport UK,DD,Brixton,Croydon Town Centre,Brixton Station,Park Street,Brixton,"Croydon Town Centre, Park Street",,9.0,8.5,8.5,0.0,6.0,11.257,6.995
110,regular,AV,Hounslow,First,SD,Hammersmith,"Hounslow, Bus Station",Hammersmith Bus Station,,Hammersmith,"Hounslow, Bus Station",110R,3.0,3.0,3.0,0.0,3.0,18.821,11.695
111,twentyfour,TF,Fulwell (Twickenham),Transport UK,DD,Kingston,Heathrow Central,Cromwell Road Bus Station,Heathrow Central Bus Station,"Kingston, Cromwell Road Bus Station",Heathrow Central,,6.0,6.0,6.0,2.0,5.0,25.017,15.545
112,regular,W,Cricklewood,Metroline,SD,"North Finchley, Tally Ho!",Ealing Broadway,Tally Ho Corner,Haven Grn / Ealing Broadway Stn,"North Finchley, Tally Ho!, Tally Ho Corner",Ealing Broadway,,6.0,6.0,6.0,0.0,5.0,17.433,10.832
113,regular,EW,Edgware,Metroline,DD,Marble Arch,Edgware,Marble Arch Station,Edgware Station,Marble Arch,Edgware,,7.0,6.5,6.5,0.0,5.0,17.891,11.117
114,regular,UX,Uxbridge Industrial Estate,Metroline,DD,Ruislip,Mill Hill Broadway,Ruislip Station,Mill Hill Broadway Station,Ruislip,Mill Hill Broadway,,6.5,5.5,6.0,0.0,5.0,19.246,11.959
115,regular,DS,Henley Road,Go-Ahead,DD,Aldgate,"East Ham, Central Park",Aldgate Station,,Aldgate,"East Ham, Central Park",,7.5,7.5,7.5,0.0,6.0,10.968,6.815
116,regular,WK,Hounslow Heath,First,DD,"Hounslow, Bus Station",Ashford Hospital,,,"Hounslow, Bus Station",Ashford Hospital,,5.0,5.0,5.0,0.0,3.0,9.237,5.739
117,regular,AV,Hounslow,First,SD,Staines,West Middlesex Hospital,Staines Bus Station,,Staines,West Middlesex Hospital,,3.0,3.0,3.0,0.0,2.0,17.158,10.662
119,twentyfour,C,Croydon,Go-Ahead,DD,Croydon Colonnades,Bromley North,The Colonnades / Croydon Airport,Bromley North Station,"Croydon Colonnades, The Colonnades / Croydon Airport",Bromley North,,5.0,4.5,5.0,2.0,4.5,17.702,11.0
120,regular,AH; SG,Brentford; Lampton,Metroline,DD,Northolt,"Hounslow, Bus Station",Northolt Station,,Northolt,"Hounslow, Bus Station",,6.0,6.5,6.0,0.0,5.5,13.207,8.207
121,regular,E,Enfield,Arriva,DD,Turnpike Lane Station,Enfield Island Village,,,Turnpike Lane Station,Enfield Island Village,,6.5,5.5,6.0,0.0,6.0,19.111,11.875
122,regular,PD,Plumstead,Stagecoach London,DD,Crystal Palace,"Plumstead, Bus Garage",Crystal Palace Parade,,Crystal Palace,"Plumstead, Bus Garage",,4.0,5.0,5.0,0.0,4.5,18.312,11.378
123,twentyfour,AR; NP,Northumberland Park; Tottenham,Arriva; Go-Ahead,DD,Ilford,Wood Green,Hainault Street,Wood Green Station,"Ilford, Hainault Street",Wood Green,,5.5,6.0,5.5,3.0,4.5,18.506,11.499
124,regular,TL,Catford,Stagecoach London,SD,"Eltham, Southend Crescent","Catford, St Dunstan's College",Southend Crescent / Southend Close,Stanstead Road / St Dunstans College,"Eltham, Southend Crescent, Southend Crescent / Southend Close","Catford, St Dunstan's College, Stanstead Road / St Dunstans College",,6.5,6.5,6.0,0.0,4.0,13.582,8.44
125,regular,BT,Edgware,First,DD,Colindale Station,Winchmore Hill,,Station Road,Colindale Station,"Winchmore Hill, Station Road",,6.0,6.0,6.0,0.0,4.0,16.919,10.513
126,regular,SM,Sydenham,Go-Ahead,SD,"Eltham, High Street",Bromley South,Eltham High Street / Foots Cray Road,Ringers Road,"Eltham, High Street","Bromley South, Ringers Road",,6.0,6.5,6.0,0.0,3.0,10.63,6.605
127,regular,C,Croydon,Go-Ahead,DD,Tooting Broadway,Purley,Tooting Broadway Station,Purley Station,Tooting Broadway,Purley,,5.0,5.5,5.5,0.0,4.0,15.564,9.671
128,twentyfour,NS,Romford,Stagecoach London,DD,Claybury Broadway,Romford Station,,,Claybury Broadway,Romford Station,,5.0,5.0,5.0,2.0,3.0,18.716,11.63
129,regular,DS,Henley Road,Go-Ahead,DD,"Lewisham, Shopping Centre","Gallions Reach, Great Eastern Quay",Molesworth Street,Magellan Boulevard,"Lewisham, Shopping Centre, Molesworth Street","Gallions Reach, Great Eastern Quay, Magellan Boulevard",,8.0,7.5,7.5,0.0,5.0,19.957,12.4
